t,frame,x_m,y_m,z_m,yaw_deg,tilt_deg,n_markers,ids,reproj_px,acc_est_m,single_marker,level_assumed
1787862031.358,0,1.330327,0.135763,0.124022,-175.850,8.251,2,4 7,6.4404,0.003476,0,0
1787862031.415,1,1.316651,0.131003,0.122332,-175.844,7.906,2,4 7,6.5134,0.003518,0,0
1787862031.469,2,1.314840,0.129099,0.122479,-175.826,7.848,2,4 7,6.4980,0.003509,0,0
1787862031.516,3,1.313581,0.129856,0.122248,-175.814,7.835,2,4 7,6.5030,0.003512,0,0
1787862031.563,4,1.315905,0.134276,0.121465,-175.791,7.916,2,4 7,6.4806,0.003501,0,0
1787862031.611,5,1.326946,0.132997,0.123613,-175.768,8.145,2,4 7,6.4744,0.003495,0,0
1787862031.656,6,1.326827,0.132709,0.123837,-175.744,8.144,2,4 7,6.4772,0.003496,0,0
1787862031.703,7,1.330614,0.132364,0.124651,-175.714,8.221,2,4 7,6.4434,0.003476,0,0
1787862031.748,8,1.323275,0.131685,0.123649,-175.677,8.053,2,4 7,6.4973,0.003507,0,0
1787862031.796,9,1.303300,0.130372,0.120261,-175.649,7.605,2,4 7,6.5396,0.003535,0,0
1787862031.840,10,1.304877,0.129309,0.120785,-175.618,7.632,2,4 7,6.5675,0.003549,0,0
1787862031.882,11,1.332050,0.136006,0.123968,-175.581,8.284,2,4 7,6.4322,0.003471,0,0
1787862031.929,12,1.316698,0.128684,0.123046,-175.560,7.879,2,4 7,6.4592,0.003487,0,0
1787862031.968,13,1.310044,0.130970,0.121591,-175.529,7.756,2,4 7,6.5334,0.003530,0,0
1787862032.008,14,1.319497,0.133199,0.122805,-175.502,7.993,2,4 7,6.5592,0.003542,0,0
1787862032.049,15,1.312050,0.129717,0.121914,-175.477,7.809,2,4 7,6.5584,0.003543,0,0
1787862032.086,16,1.343975,0.140178,0.125816,-175.444,8.608,2,4 7,6.4068,0.003455,0,0
1787862032.125,17,1.325150,0.133239,0.124568,-175.415,8.141,2,4 7,6.5000,0.003507,0,0
